Sitting Day,Senate Link,Reps Link
30/04/1996,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1996-04-30/toc_sgml/senate 1996-04-30.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-04-30/toc_sgml/reps 1996-04-30.sgm
1/12/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-12-01/toc_sgml/senate 1995-12-01.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-12-01/toc_sgml/reps 1995-12-01.sgm
30/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-30/toc_sgml/senate 1995-11-30.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-11-30/toc_sgml/reps 1995-11-30.sgm
29/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-29/toc_sgml/senate 1995-11-29.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-11-29/toc_sgml/reps 1995-11-29.sgm
28/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-28/toc_sgml/senate 1995-11-28.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-11-28/toc_sgml/reps 1995-11-28.sgm
27/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-27/toc_sgml/senate 1995-11-27.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-11-27/toc_sgml/reps 1995-11-27.sgm
23/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-23/toc_sgml/senate 1995-11-23.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-11-23/toc_sgml/reps 1995-11-23.sgm
22/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-22/toc_sgml/senate 1995-11-22.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-11-22/toc_sgml/reps 1995-11-22.sgm
21/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-21/toc_sgml/senate 1995-11-21.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-11-21/toc_sgml/reps 1995-11-21.sgm
20/11/1995,parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/1995-11-20/toc_sgml/senate 1995-11-20.sgm,parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1995-11-20/toc_sgml/reps 1995-11-20.sgm
